date,asset_id,time,open,close,high,low,volume,market_cap,url_shares,unique_url_shares,tweets,tweet_spam,tweet_followers,tweet_quotes,tweet_retweets,tweet_replies,tweet_favorites,tweet_sentiment1,tweet_sentiment2,tweet_sentiment3,tweet_sentiment4,tweet_sentiment5,tweet_sentiment_impact1,tweet_sentiment_impact2,tweet_sentiment_impact3,tweet_sentiment_impact4,tweet_sentiment_impact5,social_score,average_sentiment,sentiment_relative,news,price_score,social_impact_score,correlation_rank,galaxy_score,volatility,alt_rank,alt_rank_30d,market_cap_rank,percent_change_24h_rank,volume_24h_rank,social_volume_24h_rank,social_score_24h_rank,medium,youtube,social_contributors,social_volume,price_btc,social_volume_global,percent_change_24h,market_cap_global,market_dominance,name,symbol,close_end_1d,close_percent_change_1d,close_end_7d,close_min_7d,close_max_7d,close_loss_7d,close_gain_7d,close_change_7d,close_percent_change_7d,decision,color,adx,cci,cmo,dx,roc,rsi,willr,atr,corr,linreg,angle,intercept,slope,stdev,var,tsf,bband_upper,bband_middle,bband_lower,bband_relative,apo,macd,macdsignal,macdhist,ppo,tweet_sentiment_bullish,tweet_sentiment_bearish,tweet_sentiment_net,tweet_sentiment_impact_bullish,tweet_sentiment_impact_bearish,tweet_sentiment_impact_net,tweets_mean,tweet_followers_mean,tweet_sentiment_impact_net_mean,news_mean,volatility_mean,social_volume_global_mean,tweet_sentiment1_stdev,tweet_sentiment_impact_bearish_stdev,market_dominance_stdev,market_cap_global_pct_change
2019-08-20,1,1566259200,10861.318447,10755.872894,10884.918318,10595.665291,12671622106.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,5956,5223,1,13322.0,-1.5769765117861934,,,Bitcoin,BTC,10151.624699,-0.0561784432518787,10159.115014,9903.338037,10884.918318,-0.0792622658711013,0.0119976709721054,-596.7578799999992,-0.0554820502139711,Sell,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-21,1,1566345600,10666.260914,10151.624699,10666.260914,9960.816509,15527376493.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,6224,5107,1,12496.0,-5.617844325187877,,,Bitcoin,BTC,10114.246049,-0.003682036236395,9729.756991,9903.338037,10666.260914,-0.0244578251621593,0.050694960684539,-421.86770799999977,-0.0415566690562897,Hold,Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-22,1,1566432000,10182.132024,10114.246049,10182.132024,9903.338037,12737158713.0,,,,,,,,,,,,,,,,,,,,,,,,51.0,,,,,,,,,,,,,0.0,0.0,9079,4720,1,12713.0,-0.3682036236395007,,,Bitcoin,BTC,10357.868307,0.0240870408747954,9507.45011,9672.536935,10541.352569,-0.0436719763252814,0.0422282113694702,-606.7959389999996,-0.0599941840509203,Hold,Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-23,1,1566518400,10155.69122,10357.868307,10377.96982,10149.972937,10514168647.0,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,0.0,0.0,13467,4201,1,10418.0,2.408704087479544,,,Bitcoin,BTC,10147.145588,-0.0203442168556624,9592.385842,9418.24769,10541.352569,-0.0907156365721497,0.0177144810651819,-765.482465000001,-0.0739034753398705,Sell,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-24,1,1566604800,10355.861262,10147.145588,10355.861262,10008.590251,10982740300.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,0.0,0.0,15156,3018,1,5924.0,-2.0344216855662447,,,Bitcoin,BTC,10122.193884,-0.002458987484077,9612.302402,9418.24769,10541.352569,-0.0718328018139399,0.0388490514481422,-534.8431860000001,-0.0527087328511877,Sell,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-25,1,1566691200,10089.945144,10122.193884,10237.655152,9965.083435,10401341325.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,0.0,0.0,10596,1463,1,2815.0,-0.2458987484077,,,Bitcoin,BTC,10386.950573,0.0261560578698751,9760.177254,9418.24769,10541.352569,-0.0695448241821091,0.0414098652726419,-362.0166300000001,-0.0357646409611096,Hold,Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-26,1,1566777600,10160.244993,10386.950573,10541.352569,10160.244993,13642855100.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,0.0,0.0,10626,1322,1,2875.0,2.6156057869875102,,,Bitcoin,BTC,10159.115014,-0.0219347880206764,10374.426465,9418.24769,10541.352569,-0.0932615281253057,0.014864997663641,-12.524107999999616,-0.0012057540769044,Sell,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-27,1,1566864000,10335.842666,10159.115014,10335.842666,10096.241305,10601903625.0,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,0.0,0.0,6821,1398,1,2943.0,-2.193478802067649,,,Bitcoin,BTC,9729.756991,-0.0422633292770397,10602.404439,9418.24769,10380.344756,-0.0729263644499576,0.0217764777438909,443.289424999999,0.0436346497100499,Hold,Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-28,1,1566950400,9983.95953,9729.756991,10073.973344,9672.536935,12539405684.0,,80.0,80.0,35865.0,3580.0,,,,,,1603.0,3430.0,6559.0,18886.0,1807.0,8651361.0,22634384.0,49073801.0,136696642.0,12868795.0,229935419.0,3.5,,332.0,,,,,0.62461722,,,,,,,,0.0,0.0,13579,37948,1,114976.0,-4.226332927703978,,,Bitcoin,BTC,9507.45011,-0.0228481431967554,10567.312687,9418.24769,10672.611272,-0.0320161440093668,0.0969041962581529,837.5556959999994,0.0860818720112677,Hold,Grey,,,,,,,,,,,,,,,,,,,,,,,,,,20693.0,5033.0,15660.0,149565437.0,31285745.0,118279692.0,,,,,,,,,,
2019-08-29,1,1567036800,9665.73728,9507.45011,9665.73728,9418.24769,12204317941.0,,68.0,68.0,33808.0,3350.0,,,,,,1501.0,3083.0,6082.0,18090.0,1702.0,23926344.0,28730015.0,41017312.0,127370516.0,11893234.0,232946481.0,3.5,,302.0,,,,,0.52936252,,,,,,,,0.0,0.0,14178,35404,1,111577.0,-2.284814319675545,,,Bitcoin,BTC,9592.385842,0.008933597443826,10593.704916,9418.24769,10707.844819,-0.0093823705586607,0.12625832322143,1086.2548060000008,0.1142530114207457,Buy,Green,,,,,,,,,,,,,,,,,,,,,,,,,,19792.0,4584.0,15208.0,139263750.0,52656359.0,86607391.0,,,,,,,,,,
2019-08-30,1,1567123200,9495.39906,9592.385842,9636.970473,9435.40144,10399019109.0,,56.0,56.0,28603.0,3551.0,,,,,,1147.0,2165.0,5504.0,14760.0,1476.0,33382004.0,38082040.0,31465126.0,100024109.0,7893289.0,210852936.0,3.5,,186.0,,,,,0.15179589,,,,,,,,0.0,0.0,12955,30007,1,90535.0,0.8933597443826072,,,Bitcoin,BTC,9612.302402,0.0020762884571214,10312.026406,9435.40144,10707.844819,-0.0163655220490243,0.1162858745856524,719.6405640000012,0.0750220618575489,Buy,Green,,,,,,,,,,,,,,,,,,,,,,,,,,16236.0,3312.0,12924.0,107917398.0,71464044.0,36453354.0,,,,,,,,,,
2019-08-31,1,1567209600,9667.671418,9612.302402,9667.671418,9612.302402,8266929208.0,,56.0,56.0,31736.0,3664.0,,,,,,1176.0,2528.0,5694.0,17046.0,1628.0,9017973.0,20622075.0,32667021.0,126860768.0,8962276.0,198138317.0,3.5,,3.0,,,,,0.090203,,,,,,,,0.0,0.0,11277,32715,1,94031.0,0.2076288457121433,,,Bitcoin,BTC,9760.177254,0.0153839159252036,10495.861838,9593.835884,10754.598586,-0.0019211336917736,0.118836896325934,883.5594360000014,0.0919196462042395,Buy,Green,,,,,,,,,,,,,,,,,,,,,,,,,,18674.0,3704.0,14970.0,135823044.0,29640048.0,106182996.0,,,,,,,,,,
2019-09-01,1,1567296000,9593.835884,9760.177254,9760.177254,9593.835884,8184970504.0,,87.0,87.0,37310.0,4161.0,,,,,,1742.0,3207.0,6477.0,19967.0,1756.0,35499592.0,28099972.0,42822372.0,140741661.0,12325373.0,259500833.0,3.5,,270.0,,,,,0.25769041,,,,,,,,0.0,0.0,9597,38628,1,107761.0,1.5383915925203624,,,Bitcoin,BTC,10374.426465,0.0629342270139882,10416.095562,9593.835884,10754.598586,-0.0170428636356812,0.1018855811857779,655.9183080000003,0.0672035241707507,Buy,Green,,,,,,,,,,,,,,,,,,,,,,,,,,21723.0,4949.0,16774.0,153067034.0,63599564.0,89467470.0,,,,,,,,,,
