date,asset_id,time,open,close,high,low,volume,market_cap,url_shares,unique_url_shares,tweets,tweet_spam,tweet_followers,tweet_quotes,tweet_retweets,tweet_replies,tweet_favorites,tweet_sentiment1,tweet_sentiment2,tweet_sentiment3,tweet_sentiment4,tweet_sentiment5,tweet_sentiment_impact1,tweet_sentiment_impact2,tweet_sentiment_impact3,tweet_sentiment_impact4,tweet_sentiment_impact5,social_score,average_sentiment,sentiment_relative,news,price_score,social_impact_score,correlation_rank,galaxy_score,volatility,alt_rank,alt_rank_30d,market_cap_rank,percent_change_24h_rank,volume_24h_rank,social_volume_24h_rank,social_score_24h_rank,medium,youtube,social_contributors,social_volume,price_btc,social_volume_global,percent_change_24h,market_cap_global,market_dominance,name,symbol,close_end_1d,close_percent_change_1d,close_end_7d,close_min_7d,close_max_7d,close_loss_7d,close_gain_7d,close_change_7d,close_percent_change_7d,decision,color,close_btc,adx,cci,cmo,dx,roc,rsi,willr,atr,corr,linreg,angle,intercept,slope,stdev,var,tsf,bband_upper,bband_middle,bband_lower,bband_relative,apo,macd,macdsignal,macdhist,ppo,tweet_sentiment_bullish,tweet_sentiment_bearish,tweet_sentiment_net,tweet_sentiment_impact_bullish,tweet_sentiment_impact_bearish,tweet_sentiment_impact_net,tweets_mean,tweet_followers_mean,tweet_sentiment_impact_net_mean,news_mean,volatility_mean,social_volume_global_mean,tweet_sentiment1_stdev,tweet_sentiment_impact_bearish_stdev,market_dominance_stdev,market_cap_global_pct_change
2019-08-20,29,1566259200,0.002729,0.002722,0.002758,0.002702,19884201.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,59,108,2.530710456348388e-07,13322,-1.732851985559562,,,Dogecoin,DOGE,0.002644,-0.0286554004408522,0.002606,0.002557,0.002758,-0.0606171932402645,0.0132255694342395,-0.000116,-0.0426157237325496,Sell,Red,10755.872894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-21,29,1566345600,0.002578,0.002644,0.002678,0.002557,20955185.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,60,177,2.604509207536456e-07,12496,-2.865540044085229,,,Dogecoin,DOGE,0.002659,0.0056732223903176,0.002504,0.002557,0.00274,-0.0329046898638427,0.0363086232980331,-0.0001399999999999,-0.0529500756429651,Hold,Grey,10151.624699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-22,29,1566432000,0.002644,0.002659,0.002728,0.002601,19259933.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,163,106,2.628965112296133e-07,12713,0.5673222390317633,,,Dogecoin,DOGE,0.002658,-0.0003760812335463,0.002436,0.002431,0.00274,-0.0857465212485896,0.030462579917262,-0.000223,-0.0838661150808575,Sell,Red,10114.246049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-23,29,1566518400,0.002717,0.002658,0.00274,0.002634,16500711.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,196,103,2.5661650845702337e-07,10418,-0.0376081233546332,,,Dogecoin,DOGE,0.002626,-0.0120391271632807,0.002458,0.002375,0.00274,-0.1064710308502634,0.0308502633559065,-0.0002,-0.0752445447705041,Sell,Red,10357.868307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-24,29,1566604800,0.002598,0.002626,0.002663,0.002587,17555035.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,162,88,2.587919900455064e-07,5924,-1.203912716328079,,,Dogecoin,DOGE,0.002614,-0.0045696877380045,0.002456,0.002375,0.002689,-0.0955826351865955,0.023990860624524,-0.00017,-0.0647372429550647,Sell,Red,10147.145588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-25,29,1566691200,0.002598,0.002614,0.002665,0.002582,17935943.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,147,80,2.582444112369662e-07,2815,-0.4569687738004516,,,Dogecoin,DOGE,0.002636,0.0084162203519509,0.002475,0.002375,0.002689,-0.0914307574598317,0.0286916602907421,-0.0001389999999999,-0.0531752104055087,Hold,Grey,10122.193884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-26,29,1566777600,0.002675,0.002636,0.002689,0.002621,17679756.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,189,35,2.5377996953716705e-07,2875,0.8416220351950988,,,Dogecoin,DOGE,0.002606,-0.011380880121396,0.002587,0.002375,0.002689,-0.0990136570561456,0.0201062215477997,-4.9e-05,-0.0185887708649468,Sell,Red,10386.950573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-27,29,1566864000,0.002588,0.002606,0.002646,0.002559,16696226.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,152,38,2.565184070077701e-07,2943,-1.1380880121396086,,,Dogecoin,DOGE,0.002504,-0.0391404451266307,0.002589,0.002375,0.002657,-0.0886415963161933,0.0195702225633155,-1.6999999999999654e-05,-0.006523407521105,Sell,Red,10159.115014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-28,29,1566950400,0.002473,0.002504,0.002542,0.002431,18244889.0,,,,562.0,125.0,,,,,,2.0,87.0,61.0,107.0,181.0,15390.0,269816.0,343871.0,151000.0,209957.0,982643.0,3.9,,8.0,,,,,0.76404216,,,,,,,,0.0,0.0,304,618,2.573548344851977e-07,114976,-3.914044512663072,,,Dogecoin,DOGE,0.002436,-0.0271565495207669,0.0025,0.002375,0.00266,-0.0515175718849841,0.0623003194888178,-4.000000000000097e-06,-0.0015974440894569,Sell,Red,9729.756991,,,,,,,,,,,,,,,,,,,,,,,,,,288.0,89.0,199.0,360957.0,285206.0,75751.0,,,,,,,,,,
2019-08-29,29,1567036800,0.002439,0.002436,0.002479,0.002375,21965953.0,,2.0,2.0,577.0,145.0,,,,,,,72.0,93.0,156.0,115.0,,172761.0,761734.0,549925.0,199962.0,1681961.0,3.7,,13.0,,,,,0.65540071,,,,,,,,0.0,0.0,264,724,2.562201191503281e-07,111577,-2.715654952076691,,,Dogecoin,DOGE,0.002458,0.0090311986863712,0.002501,0.002375,0.00266,-0.0250410509031198,0.0919540229885058,6.500000000000039e-05,0.0266830870279147,Buy,Green,9507.45011,,,,,,,,,,,,,,,,,,,,,,,,,,271.0,,,749887.0,,,,,,,,,,,,
