date,asset_id,time,open,close,high,low,volume,market_cap,url_shares,unique_url_shares,tweets,tweet_spam,tweet_followers,tweet_quotes,tweet_retweets,tweet_replies,tweet_favorites,tweet_sentiment1,tweet_sentiment2,tweet_sentiment3,tweet_sentiment4,tweet_sentiment5,tweet_sentiment_impact1,tweet_sentiment_impact2,tweet_sentiment_impact3,tweet_sentiment_impact4,tweet_sentiment_impact5,social_score,average_sentiment,sentiment_relative,news,price_score,social_impact_score,correlation_rank,galaxy_score,volatility,alt_rank,alt_rank_30d,market_cap_rank,percent_change_24h_rank,volume_24h_rank,social_volume_24h_rank,social_score_24h_rank,medium,youtube,social_contributors,social_volume,price_btc,social_volume_global,percent_change_24h,market_cap_global,market_dominance,name,symbol,close_end_1d,close_percent_change_1d,close_end_7d,close_min_7d,close_max_7d,close_loss_7d,close_gain_7d,close_change_7d,close_percent_change_7d,decision,color
2019-08-31,29,1567209600,0.002468,0.002456,0.002509,0.002435,16650154.0,,,,584.0,169.0,,,,,,6.0,69.0,58.0,177.0,110.0,7075.0,136857.0,113330.0,395699.0,163824.0,812978.0,3.8,,4.0,,,,,0.45602875,,,,,,,,0.0,0.0,292,628,2.5550590246609264e-07,94031,-0.08136696501221584,,,Dogecoin,DOGE,0.002475,0.007736156351791675,0.002476,0.002293,0.00266,-0.06636807817589575,0.08306188925081441,2.0000000000000052e-05,0.008143322475570055,Buy,Green
2019-09-01,29,1567296000,0.0025,0.002475,0.002537,0.002454,15115711.0,,4.0,4.0,553.0,160.0,,,,,,6.0,68.0,77.0,139.0,109.0,3540.0,168935.0,232277.0,426419.0,150543.0,978743.0,3.7,,2.0,,,,,0.41202363,,,,,,,,0.0,0.0,291,584,2.535814602122799e-07,107761,0.7736156351791675,,,Dogecoin,DOGE,0.002587,0.04525252525252512,0.002459,0.002293,0.00266,-0.07353535353535365,0.07474747474747467,-1.600000000000039e-05,-0.006464646464646622,Hold,Grey
2019-09-02,29,1567382400,0.002612,0.002587,0.002657,0.002559,16769667.0,,1.0,1.0,529.0,171.0,,,,,,2.0,71.0,65.0,112.0,112.0,2390.0,121110.0,215524.0,226474.0,152927.0,714933.0,3.7,,2.0,,,,,0.66179299,,,,,,,,0.0,0.0,171,561,2.4936318250726543e-07,120150,4.525252525252512,,,Dogecoin,DOGE,0.002589,0.0007730962504832878,0.002438,0.002293,0.00266,-0.11364514882102822,0.028218013142636316,-0.00014899999999999983,-0.05759567066099723,Hold,Grey
2019-09-03,29,1567468800,0.002647,0.002589,0.00266,0.002532,17925768.0,,2.0,2.0,591.0,191.0,,,,,,6.0,70.0,84.0,138.0,105.0,2432.0,137035.0,220489.0,294307.0,148547.0,801751.0,3.7,,4.0,,,,,0.49844029,,,,,,,,0.0,0.0,207,639,2.441898924810484e-07,120085,0.07730962504832878,,,Dogecoin,DOGE,0.0025,-0.03437620702974125,0.00241,0.002293,0.00266,-0.11432985708767873,0.0274237157203553,-0.00017900000000000034,-0.06913866357667066,Sell,Red
2019-09-04,29,1567555200,0.002577,0.0025,0.002601,0.002464,16212352.0,,,,611.0,167.0,,,,,,7.0,68.0,75.0,185.0,117.0,1521.0,79947.0,165758.0,3863574.0,157592.0,4256892.0,3.8,,2.0,,,,,0.42102349,,,,,,,,0.0,0.0,249,640,2.3657859609619783e-07,113061,-3.437620702974125,,,Dogecoin,DOGE,0.002501,0.0004000000000000531,0.002398,0.002293,0.002601,-0.08280000000000005,0.040399999999999985,-0.0001020000000000001,-0.04080000000000004,Hold,Grey
2019-09-05,29,1567641600,0.002527,0.002501,0.002551,0.002455,17545511.0,,,,552.0,176.0,,,,,,5.0,65.0,62.0,144.0,104.0,4498.0,87947.0,139601.0,3781720.0,143190.0,4154071.0,3.7,,11.0,,,,,0.44514412,,,,,,,,0.0,0.0,264,598,2.36083600575155e-07,117822,0.04000000000000531,,,Dogecoin,DOGE,0.002459,-0.016793282686925377,0.00242,0.002293,0.002551,-0.08316673330667744,0.01999200319872039,-8.100000000000034e-05,-0.032387045181927365,Sell,Red
2019-09-06,29,1567728000,0.00241,0.002459,0.002504,0.002293,19441699.0,,,,585.0,157.0,,,,,,1.0,66.0,92.0,171.0,101.0,150.0,92276.0,1754913.0,331528.0,140806.0,2317384.0,3.7,,13.0,,,,,0.47112534,,,,,,,,0.0,0.0,455,696,2.384594359232093e-07,97221,-1.6793282686925377,,,Dogecoin,DOGE,0.002476,0.00691337942252952,0.002427,0.002293,0.002537,-0.0675071167141114,0.03172021146807661,-3.199999999999991e-05,-0.013013420089467228,Hold,Grey
2019-09-07,29,1567814400,0.002495,0.002476,0.002537,0.002372,17339325.0,,2.0,2.0,556.0,148.0,,,,,,,49.0,92.0,164.0,109.0,,85956.0,2164057.0,2217467.0,160819.0,4616842.0,3.8,,3.0,,,,,0.4473332,,,,,,,,0.0,0.0,269,625,2.3590249549929335e-07,92630,0.691337942252952,,,Dogecoin,DOGE,0.002459,-0.006865912762520229,0.002438,0.002349,0.002537,-0.051292407108239076,0.02463651050080787,-3.799999999999984e-05,-0.015347334410339192,Sell,Red
2019-09-08,29,1567900800,0.00245,0.002459,0.002518,0.0024,19204066.0,,2.0,2.0,555.0,143.0,,,,,,6.0,73.0,70.0,153.0,113.0,25501.0,277089.0,702230.0,376910.0,179147.0,1554682.0,3.8,,8.0,,,,,0.39629862,,,,,,,,0.0,0.0,239,641,2.3607694316581767e-07,111045,-0.686591276252023,,,Dogecoin,DOGE,0.002438,-0.008540056933712792,0.002445,0.002349,0.002518,-0.04473363155754366,0.02399349328995528,-1.399999999999969e-05,-0.005693371289141802,Hold,Grey
2019-09-09,29,1567987200,0.00244,0.002438,0.002478,0.002375,18133232.0,,144.0,107.0,965.0,439.0,288107.0,2.0,320.0,105.0,353.0,6.0,70.0,105.0,478.0,146.0,12648.0,96464.0,426222.0,757894.0,212673.0,1502101.0,4.0,96.0,3.0,,,,,0.35617918,,,,,,,,0.0,0.0,185,1115,2.3624147246797376e-07,165403,-0.8540056933712792,,,Dogecoin,DOGE,0.00241,-0.011484823625922989,0.002448,0.002349,0.002529,-0.036505332239540646,0.037325676784249355,1.0000000000000026e-05,0.004101722723543899,Hold,Grey
2019-09-10,29,1568073600,0.002374,0.00241,0.002439,0.002349,15700952.0,292780508.97,81.0,55.0,935.0,252.0,178083.0,0.0,11.0,1.0,6.0,6.0,103.0,104.0,455.0,126.0,3109.0,101372.0,575109.0,566306.0,175124.0,1416122.0,3.9,87.0,6.0,2.0,5.0,3.0,65.0,0.42092885,,,,,,,,0.0,0.0,138,1030,2.3838428608389526e-07,140125,-1.1484823625922989,260609343964.0,0.11234459383407376,Dogecoin,DOGE,0.002398,-0.0049792531120331366,0.002562,0.002349,0.002529,-0.025311203319502016,0.04937759336099593,0.00015200000000000023,0.06307053941908723,Hold,Grey
2019-09-11,29,1568160000,0.00242,0.002398,0.002452,0.002363,16142699.0,,234.0,169.0,393.0,178.0,546424.0,3.0,44.0,16.0,139.0,0.0,27.0,50.0,308.0,8.0,0.0,22247.0,260088.0,254278.0,10013.0,367321.0,3.6,62.0,0.0,3.0,2.0,5.0,67.0,,,,,,,,,0.0,0.0,258,599,2.3559996989162072e-07,238018,-0.4979253112033137,,,Dogecoin,DOGE,0.00242,0.009174311926605457,0.002707,0.002363,0.002623,-0.014595496246872341,0.09382819015846536,0.00030900000000000025,0.12885738115095924,Buy,Green
2019-09-12,29,1568246400,0.002465,0.00242,0.002486,0.002384,17149519.0,288452479.15,421.0,282.0,799.0,295.0,1385013.0,10.0,310.0,94.0,541.0,0.0,45.0,92.0,487.0,175.0,0.0,56220.0,444611.0,778858.0,106279.0,1369788.0,3.9,89.0,4.0,5.0,1.4,3.0,66.5,0.00898808,,,,,,,,0.0,0.0,215,1175,2.321041040263647e-07,192839,0.9174311926605456,265211449125.0,0.10876320766003053,Dogecoin,DOGE,0.002427,0.0028925619834711002,0.002695,0.002372,0.002818,-0.0198347107438016,0.16446280991735554,0.00027500000000000007,0.11363636363636367,Buy,Green
