date,asset_id,time,open,close,high,low,volume,market_cap,url_shares,unique_url_shares,tweets,tweet_spam,tweet_followers,tweet_quotes,tweet_retweets,tweet_replies,tweet_favorites,tweet_sentiment1,tweet_sentiment2,tweet_sentiment3,tweet_sentiment4,tweet_sentiment5,tweet_sentiment_impact1,tweet_sentiment_impact2,tweet_sentiment_impact3,tweet_sentiment_impact4,tweet_sentiment_impact5,social_score,average_sentiment,sentiment_relative,news,price_score,social_impact_score,correlation_rank,galaxy_score,volatility,alt_rank,alt_rank_30d,market_cap_rank,percent_change_24h_rank,volume_24h_rank,social_volume_24h_rank,social_score_24h_rank,medium,youtube,social_contributors,social_volume,price_btc,social_volume_global,percent_change_24h,market_cap_global,market_dominance,name,symbol,close_end_1d,close_percent_change_1d,close_end_7d,close_min_7d,close_max_7d,close_loss_7d,close_gain_7d,close_change_7d,close_percent_change_7d,decision,color
2019-08-30,1,1567123200,9495.39906,9592.385842,9636.970473,9435.40144,10399019109.0,,56.0,56.0,28603.0,3551.0,,,,,,1147.0,2165.0,5504.0,14760.0,1476.0,33382004.0,38082040.0,31465126.0,100024109.0,7893289.0,210852936.0,3.5,,186.0,,,,,0.15179589,,,,,,,,0.0,0.0,12955,30007,1,90535.0,0.8933597443826072,,,Bitcoin,BTC,9612.302402,0.0020762884571214335,10312.026406,9435.40144,10707.844819,-0.016365522049024354,0.11628587458565245,719.6405640000012,0.07502206185754899,Buy,Green
2019-08-31,1,1567209600,9667.671418,9612.302402,9667.671418,9612.302402,8266929208.0,,56.0,56.0,31736.0,3664.0,,,,,,1176.0,2528.0,5694.0,17046.0,1628.0,9017973.0,20622075.0,32667021.0,126860768.0,8962276.0,198138317.0,3.5,,3.0,,,,,0.090203,,,,,,,,0.0,0.0,11277,32715,1,94031.0,0.20762884571214335,,,Bitcoin,BTC,9760.177254,0.015383915925203624,10495.861838,9593.835884,10754.598586,-0.0019211336917736798,0.11883689632593404,883.5594360000014,0.0919196462042395,Buy,Green
2019-09-01,1,1567296000,9593.835884,9760.177254,9760.177254,9593.835884,8184970504.0,,87.0,87.0,37310.0,4161.0,,,,,,1742.0,3207.0,6477.0,19967.0,1756.0,35499592.0,28099972.0,42822372.0,140741661.0,12325373.0,259500833.0,3.5,,270.0,,,,,0.25769041,,,,,,,,0.0,0.0,9597,38628,1,107761.0,1.5383915925203624,,,Bitcoin,BTC,10374.426465,0.06293422701398824,10416.095562,9593.835884,10754.598586,-0.017042863635681273,0.10188558118577791,655.9183080000003,0.0672035241707507,Buy,Green
2019-09-02,1,1567382400,9862.492351,10374.426465,10380.344756,9862.492351,12553044947.0,,74.0,74.0,41402.0,4413.0,,,,,,1837.0,3112.0,6798.0,23186.0,2055.0,36752522.0,21825007.0,50415744.0,193422913.0,18600351.0,321030863.0,3.6,,318.0,,,,,0.74061217,,,,,,,,0.0,0.0,11568,43166,1,120150.0,6.293422701398824,,,Bitcoin,BTC,10602.404439,0.021974995414842862,10319.949222,9862.492351,10754.598586,-0.04934577499075267,0.03664512175999115,-54.47724300000118,-0.005251108886239638,Hold,Grey
2019-09-03,1,1567468800,10366.178781,10602.404439,10672.611272,10352.231916,13374010349.0,,65.0,65.0,36533.0,4053.0,,,,,,1706.0,2686.0,6784.0,19516.0,1788.0,27579525.0,24287817.0,59267151.0,139490090.0,13762747.0,264399710.0,3.5,,289.0,,,,,0.52856619,,,,,,,,0.0,0.0,13785,38263,1,120085.0,2.1974995414842864,,,Bitcoin,BTC,10567.312687,-0.003309791868617876,10109.726776,10178.037594,10754.598586,-0.04002552887333791,0.014354682268124724,-492.6776630000004,-0.04646848418531645,Hold,Grey
2019-09-04,1,1567555200,10558.217239,10567.312687,10707.844819,10178.037594,11474047463.0,,59.0,59.0,36489.0,3544.0,,,,,,1566.0,2653.0,6810.0,20120.0,1796.0,7970967.0,12998972.0,55743080.0,147163614.0,13180288.0,237067039.0,3.5,,261.0,,,,,0.17850227,,,,,,,,0.0,0.0,14916,38027,1,113061.0,-0.33097918686178757,,,Bitcoin,BTC,10593.704916,0.002497534593867834,10178.269552,10052.063349,10754.598586,-0.04875878600941409,0.01772313402161376,-389.0431349999999,-0.03681571147966542,Hold,Grey
2019-09-05,1,1567641600,10548.763294,10593.704916,10593.930427,10548.763294,9848186921.0,,67.0,67.0,39406.0,3587.0,,,,,,1970.0,2808.0,7385.0,21555.0,2101.0,6142248.0,25172342.0,40381925.0,158676849.0,17997002.0,248382031.0,3.5,,251.0,,,,,0.21257059,,,,,,,,0.0,0.0,12382,41008,1,117822.0,0.2497534593867834,,,Bitcoin,BTC,10312.026406,-0.02658923504416023,10426.355924,9995.436415,10754.598586,-0.05647396314545415,0.015187667702259365,-167.3489920000011,-0.015797022224703344,Sell,Red
2019-09-06,1,1567728000,10502.938716,10312.026406,10754.598586,10260.870805,13912482259.0,,44.0,44.0,30199.0,3848.0,,,,,,1184.0,2189.0,5811.0,15538.0,1629.0,8514505.0,13963143.0,33175351.0,102901931.0,13110198.0,171672628.0,3.5,,12.0,,,,,0.36769507,,,,,,,,0.0,0.0,15722,31520,1,97221.0,-2.658923504416023,,,Bitcoin,BTC,10495.861838,0.017827284838316176,10360.848495,9995.436415,10754.598586,-0.030701045413905694,0.04291806116230373,48.82208899999932,0.0047344806033072645,Hold,Grey
2019-09-07,1,1567814400,10598.249275,10495.861838,10598.249275,10495.861838,11067918183.0,,40.0,40.0,31621.0,4514.0,,,,,,1125.0,2005.0,5845.0,16628.0,1504.0,16150172.0,14695612.0,29639367.0,95616444.0,14494446.0,170604146.0,3.6,,107.0,,,,,0.30038918,,,,,,,,0.0,0.0,38797,32842,1,92630.0,1.7827284838316175,,,Bitcoin,BTC,10416.095562,-0.0075997833461572935,10364.142113,9995.436415,10598.249275,-0.047678354643372216,0.009755029037187618,-131.71972500000084,-0.012549681677698245,Hold,Grey
2019-09-08,1,1567900800,10576.878344,10416.095562,10576.878344,10416.095562,9425137874.0,,67.0,67.0,37513.0,5273.0,,,,,,1764.0,2661.0,6748.0,18807.0,2259.0,31451182.0,16233618.0,39659638.0,138961295.0,17051077.0,243368935.0,3.5,,274.0,,,,,0.20669796,,,,,,,,0.0,0.0,13540,38937,1,111045.0,-0.7599783346157294,,,Bitcoin,BTC,10319.949222,-0.009230554714835972,10314.780089,9995.436415,10576.878344,-0.040385492288938764,0.015435993366513261,-101.31547300000057,-0.009726818691028495,Hold,Grey
2019-09-09,1,1567987200,10387.873352,10319.949222,10433.041657,10196.060081,12320545129.0,,9373.0,6740.0,54590.0,8140.0,83202358.0,296.0,4162.0,1555.0,10024.0,1712.0,4007.0,10400.0,30458.0,2930.0,8798465.0,28870754.0,49998453.0,199219324.0,19074296.0,305956007.0,4.0,95.0,353.0,,,,,0.18890129,,,,,,,,0.0,0.0,10614,62830,1,165403.0,-0.9230554714835972,,,Bitcoin,BTC,10109.726776,-0.020370492284191567,10288.619353,9995.436415,10570.201707,-0.03144519415930894,0.02424939111778906,-31.329868999999235,-0.003035854956845178,Hold,Grey
2019-09-10,1,1568073600,10296.534381,10109.726776,10296.534381,10052.063349,10103689292.0,183806337590.82,4607.0,3131.0,46763.0,6162.0,53152748.0,186.0,2576.0,1225.0,6205.0,1639.0,3350.0,9307.0,25455.0,2694.0,6662701.0,24441064.0,46903594.0,159300061.0,14593495.0,251907482.0,3.9,94.0,326.0,5.0,4.0,3.0,80.0,0.24913344,,,,,,,,0.0,0.0,6053,51597,1,140125.0,-2.0370492284191566,260609343964.0,70.52945024726766,Bitcoin,BTC,10178.269552,0.006779884117414276,10181.571115,9995.436415,10570.201707,-0.011304990088487768,0.04554771273276601,71.84433900000113,0.007106457038043412,Hold,Grey
2019-09-11,1,1568160000,10077.321128,10178.269552,10178.269552,9995.436415,12166350658.0,,11588.0,8045.0,20343.0,3080.0,96994701.0,376.0,5887.0,1964.0,19056.0,14.0,679.0,5175.0,13636.0,839.0,15056.0,5760956.0,18174822.0,70252383.0,2818767.0,18631189.0,3.2,26.0,46.0,5.0,2.0,5.0,78.0,,,,,,,,,0.0,0.0,12494,29418,1,238018.0,0.6779884117414277,,,Bitcoin,BTC,10426.355924,0.02437412083975036,10170.611748,9995.436415,10570.201707,-0.017963086560629893,0.0385067572633687,-7.657804000000397,-0.0007523679699065998,Hold,Grey
2019-09-12,1,1568246400,10205.154769,10426.355924,10426.355924,10156.880189,10018736654.0,183215645172.04,20036.0,14612.0,37786.0,5816.0,204507255.0,885.0,11077.0,3866.0,37586.0,16.0,1156.0,8731.0,26553.0,1330.0,223501.0,8903577.0,59483798.0,130749965.0,5199828.0,143915093.0,3.6,73.0,99.0,1.4,4.1,2.0,56.5,0.01106934,,,,,,,,0.0,0.0,12383,54652,1,192839.0,2.437412083975036,265211449125.0,69.0828566325153,Bitcoin,BTC,10360.848495,-0.0062828690558328695,10259.256358,10137.459411,10570.201707,-0.027708291862068576,0.013796362223630596,-167.09956599999896,-0.01602665084695213,Hold,Grey
